system,dataset,target_recall,chunks,slots,runs,rows,recall_mean,recall_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,qps_mean,qps_std,avg_latency_ms_mean,avg_latency_ms_std,p50_ms_mean,p90_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean,stddev_ms_mean,gpu_mem_peak_mib_mean,gpu_mem_peak_mib_std,gpu_mem_peak_mib_max,max_ms_std,p50_ms_std,p90_ms_std,p95_ms_std,p99_ms_std,stddev_ms_std
chimera,hotpot,0.90,1,1,3,3,0.913830,0.000190,0.944300,0.000100,0.913830,0.000190,333.849667,8.509694,2.994333,0.074702,2.920667,3.265333,3.360333,4.695667,11.796667,0.617000,,,,1.313838,0.058227,0.087123,0.096759,1.600057,0.124048
chimera,hotpot,0.90,10,1,3,3,0.913863,0.000072,0.944200,0.000000,0.913863,0.000072,302.142333,3.437513,3.309333,0.037528,3.275000,3.539333,3.622000,3.845333,10.325333,0.429000,,,,4.989650,0.042509,0.044770,0.051507,0.020207,0.299351
chimera,hotpot,0.90,11,1,3,3,0.913903,0.000051,0.944133,0.000208,0.913903,0.000051,287.507000,4.934290,3.478333,0.060069,3.441333,3.699333,3.794000,5.689333,8.194000,0.403000,,,,0.866916,0.028746,0.055194,0.087744,1.646500,0.167520
chimera,hotpot,0.90,12,1,3,3,0.913863,0.000050,0.944133,0.000153,0.913863,0.000050,280.231667,1.141628,3.568000,0.014422,3.534000,3.808000,3.908667,5.161667,8.059333,0.382667,,,,0.910783,0.018735,0.017059,0.035218,0.427727,0.035852
chimera,hotpot,0.90,2,1,3,3,0.913880,0.000098,0.944233,0.000058,0.913880,0.000098,363.148000,10.643176,2.754667,0.081402,2.677333,2.981333,3.069667,4.325333,13.115667,0.730333,,,,6.152471,0.022723,0.033292,0.031182,1.798509,0.514885
chimera,hotpot,0.90,3,1,3,3,0.914003,0.000035,0.944200,0.000100,0.914003,0.000035,374.320667,4.989119,2.671000,0.035369,2.639000,2.910667,2.989667,3.212000,6.498000,0.283000,,,,0.241502,0.039686,0.044049,0.038991,0.020000,0.035595
chimera,hotpot,0.90,4,1,3,3,0.913880,0.000050,0.944200,0.000100,0.913880,0.000050,363.818667,3.072801,2.748333,0.023029,2.704333,2.977333,3.071333,4.039667,6.898667,0.347000,,,,0.154507,0.016073,0.020744,0.019604,1.208718,0.047760
chimera,hotpot,0.90,5,1,3,3,0.913850,0.000185,0.944233,0.000208,0.913850,0.000185,345.000000,8.051330,2.899000,0.067446,2.833333,3.128667,3.238667,5.046333,10.411667,0.538667,,,,3.346832,0.042911,0.064501,0.084180,1.223453,0.223377
chimera,hotpot,0.90,6,1,3,3,0.913793,0.000035,0.944233,0.000058,0.913793,0.000035,347.219000,1.760970,2.879333,0.014503,2.839333,3.108667,3.194000,3.808333,8.112667,0.335000,,,,0.589595,0.018175,0.017898,0.023643,0.568340,0.050478
chimera,hotpot,0.90,7,1,3,3,0.913953,0.000051,0.944200,0.000000,0.913953,0.000051,337.166000,2.327681,2.965667,0.020257,2.933000,3.195000,3.274333,3.816333,8.994667,0.315333,,,,0.632931,0.011533,0.012000,0.035388,0.714620,0.074232
chimera,hotpot,0.90,8,1,3,3,0.913793,0.000112,0.944133,0.000058,0.913793,0.000112,321.285333,8.687739,3.113667,0.084050,3.060667,3.327333,3.415333,4.641333,12.221333,0.501333,,,,4.335706,0.054519,0.072920,0.097295,1.892015,0.232616
chimera,hotpot,0.90,9,1,3,3,0.913890,0.000040,0.944400,0.000000,0.913890,0.000040,305.213667,2.236820,3.276000,0.023643,3.219000,3.488667,3.597667,5.414667,8.965333,0.425333,,,,2.208409,0.001000,0.005132,0.004041,1.400177,0.113121
chimera,hotpot,0.95,1,1,3,3,0.950103,0.000015,0.949500,0.000000,0.950103,0.000015,110.704333,3.171882,9.037667,0.263079,8.942333,9.905333,10.218333,13.392333,18.581333,1.077000,,,,3.279002,0.207693,0.250857,0.353002,2.323814,0.262315
chimera,hotpot,0.95,10,1,3,3,0.950073,0.000032,0.949500,0.000000,0.950073,0.000032,134.709667,0.965327,7.422333,0.052310,7.365000,8.044333,8.208000,10.736000,13.173667,0.727000,,,,2.780118,0.014107,0.023459,0.049669,1.915518,0.202672
chimera,hotpot,0.95,11,1,3,3,0.950113,0.000021,0.949500,0.000000,0.950113,0.000021,134.552333,1.535813,7.432333,0.085658,7.374333,8.040000,8.201333,9.768333,14.255333,0.716667,,,,7.180794,0.026727,0.031225,0.050807,2.069512,0.386562
chimera,hotpot,0.95,12,1,3,3,0.950100,0.000020,0.949500,0.000000,0.950100,0.000020,133.886667,0.768314,7.469000,0.043000,7.394667,8.092333,8.244667,9.771000,13.849333,0.669333,10205.380000,0.000000,10205.380000,2.464617,0.015948,0.002517,0.016563,1.746116,0.183865
chimera,hotpot,0.95,2,1,3,3,0.950107,0.000021,0.949500,0.000000,0.950107,0.000021,126.015000,0.871227,7.935000,0.055426,7.906000,8.702667,8.911667,10.210333,11.813333,0.701667,,,,3.583463,0.013856,0.033501,0.045004,1.630497,0.179567
chimera,hotpot,0.95,3,1,3,3,0.950110,0.000010,0.949500,0.000000,0.950110,0.000010,130.955000,1.374201,7.636333,0.080755,7.562667,8.336000,8.544000,10.200333,16.651000,0.881667,,,,6.875059,0.034487,0.042509,0.060556,1.672223,0.382795
chimera,hotpot,0.95,4,1,3,3,0.950107,0.000021,0.949500,0.000000,0.950107,0.000021,133.144667,0.388343,7.510333,0.022279,7.433000,8.188667,8.390000,11.018333,14.760333,0.844000,,,,0.557948,0.004000,0.013051,0.025159,1.839340,0.082656
chimera,hotpot,0.95,5,1,3,3,0.950117,0.000021,0.949500,0.000000,0.950117,0.000021,135.589000,0.395549,7.375000,0.021703,7.354667,8.083333,8.222333,8.677667,11.236333,0.570333,,,,2.279584,0.014189,0.019553,0.022502,0.067722,0.058960
chimera,hotpot,0.95,6,1,3,3,0.950107,0.000012,0.949500,0.000000,0.950107,0.000012,135.346667,0.959980,7.388333,0.052700,7.329000,8.046667,8.220000,10.480000,16.657667,0.785333,,,,0.853491,0.012124,0.024420,0.052144,3.111165,0.208591
chimera,hotpot,0.95,7,1,3,3,0.950133,0.000021,0.949500,0.000000,0.950133,0.000021,135.149667,0.626853,7.398667,0.034429,7.326333,8.041000,8.197333,10.808333,14.320667,0.770667,,,,0.718681,0.010017,0.028513,0.026083,1.605164,0.104644
chimera,hotpot,0.95,8,1,3,3,0.950103,0.000012,0.949500,0.000000,0.950103,0.000012,136.012333,0.426751,7.351333,0.023245,7.318667,8.021333,8.168333,8.837667,12.668667,0.570667,,,,2.099863,0.011240,0.015535,0.017954,0.215282,0.050342
chimera,hotpot,0.95,9,1,3,3,0.950110,0.000010,0.949500,0.000000,0.950110,0.000010,134.224000,1.626487,7.450667,0.090473,7.347333,8.047333,8.233667,12.110000,16.420000,0.903667,,,,4.966971,0.028095,0.037541,0.087922,3.059057,0.370516
chimera,lotte,0.90,1,1,3,3,0.909303,0.000020,0.957466,0.000020,0.909303,0.000020,527.335333,6.983872,1.896333,0.025384,1.846333,1.984000,2.030000,2.319333,13.703333,0.617333,,,,2.737628,0.014364,0.030050,0.032909,0.051326,0.097746
chimera,lotte,0.90,10,1,3,3,0.909272,0.000031,0.957444,0.000039,0.909272,0.000031,418.483000,11.458693,2.390333,0.066380,2.346333,2.669333,2.734667,3.167333,11.241333,0.446000,,,,3.752825,0.067412,0.055896,0.071988,0.272566,0.154415
chimera,lotte,0.90,11,1,3,3,0.909293,0.000034,0.957444,0.000052,0.909293,0.000034,439.533000,18.474496,2.277667,0.096837,2.241667,2.467667,2.573667,2.789333,11.336333,0.291667,,,,4.249090,0.103905,0.135784,0.120500,0.068039,0.130470
chimera,lotte,0.90,12,1,3,3,0.909264,0.000019,0.957455,0.000034,0.909264,0.000019,380.930000,10.394412,2.626333,0.071598,2.532000,2.982333,3.085667,3.292000,8.992333,0.406000,,,,1.512615,0.036373,0.210915,0.211133,0.162748,0.137011
chimera,lotte,0.90,2,1,3,3,0.909264,0.000016,0.957444,0.000020,0.909264,0.000016,606.140333,9.669657,1.649667,0.026312,1.622667,1.731333,1.772667,1.936667,11.451000,0.392333,,,,2.490588,0.026633,0.025027,0.027755,0.075375,0.041681
chimera,lotte,0.90,3,1,3,3,0.909296,0.000021,0.957478,0.000020,0.909296,0.000021,607.746667,17.109527,1.646000,0.046808,1.625000,1.741333,1.779667,1.949333,8.103333,0.240667,,,,1.151457,0.040262,0.051033,0.058106,0.135060,0.075639
chimera,lotte,0.90,4,1,3,3,0.909292,0.000013,0.957478,0.000039,0.909292,0.000013,596.234333,19.980324,1.678333,0.056580,1.658333,1.757333,1.804333,2.295333,8.332667,0.236667,,,,1.409891,0.048604,0.058184,0.069002,0.692215,0.053631
chimera,lotte,0.90,5,1,3,3,0.909272,0.000006,0.957466,0.000020,0.909272,0.000006,550.859667,7.707109,1.815667,0.025482,1.768000,1.925667,1.985000,2.414000,10.255667,0.382000,,,,3.621398,0.016523,0.032501,0.030806,0.199947,0.125527
chimera,lotte,0.90,6,1,3,3,0.909268,0.000014,0.957466,0.000039,0.909268,0.000014,536.514333,13.540394,1.864333,0.047721,1.842000,1.965000,2.016000,2.160000,10.837667,0.326000,,,,4.117609,0.026058,0.053814,0.068432,0.120876,0.211922
chimera,lotte,0.90,7,1,3,3,0.909312,0.000004,0.957466,0.000020,0.909312,0.000004,496.929333,10.114835,2.013000,0.040447,2.005000,2.124333,2.163333,2.520333,6.721667,0.243000,,,,0.985465,0.036428,0.047585,0.052558,0.416850,0.079775
chimera,lotte,0.90,8,1,3,3,0.909269,0.000007,0.957432,0.000020,0.909269,0.000007,485.028000,15.788181,2.063000,0.068724,2.042667,2.230667,2.285333,2.435000,10.119667,0.295667,,,,5.272812,0.093885,0.070038,0.093409,0.158547,0.201013
chimera,lotte,0.90,9,1,3,3,0.909272,0.000011,0.957466,0.000039,0.909272,0.000011,447.861667,14.173849,2.234333,0.071584,2.223000,2.440333,2.492333,2.724333,7.775333,0.325333,,,,0.217330,0.081688,0.046318,0.048881,0.157001,0.015948
chimera,lotte,0.95,1,1,3,3,0.950686,0.000033,0.962845,0.000000,0.950686,0.000033,373.187667,2.257175,2.679333,0.016258,2.671667,2.849000,2.904000,3.016000,9.926000,0.308333,,,,5.740118,0.019348,0.019975,0.022113,0.013528,0.231833
chimera,lotte,0.95,10,1,3,3,0.950678,0.000017,0.962857,0.000020,0.950678,0.000017,357.764667,1.105858,2.795000,0.008718,2.757333,2.989333,3.072333,3.494333,12.094000,0.443667,,,,4.162495,0.027683,0.035218,0.050836,0.164150,0.103230
chimera,lotte,0.95,11,1,3,3,0.950696,0.000037,0.962857,0.000040,0.950696,0.000037,351.080667,15.356527,2.852000,0.128207,2.831667,3.033000,3.094000,3.321667,9.938667,0.302333,,,,2.228671,0.107770,0.108586,0.117847,0.301815,0.192858
chimera,lotte,0.95,12,1,3,3,0.950713,0.000044,0.962834,0.000052,0.950713,0.000044,331.966333,6.611183,3.012667,0.059534,2.989667,3.260333,3.341333,3.643000,10.926000,0.374667,9139.380000,0.000000,9139.380000,1.103606,0.076846,0.029280,0.030353,0.208986,0.063311
chimera,lotte,0.95,2,1,3,3,0.950666,0.000012,0.962845,0.000000,0.950666,0.000012,413.902000,2.164336,2.415667,0.012702,2.395333,2.555667,2.607667,2.758000,9.108667,0.333000,,,,1.060121,0.009292,0.007506,0.006506,0.046701,0.042462
chimera,lotte,0.95,3,1,3,3,0.950712,0.000013,0.962834,0.000020,0.950712,0.000013,429.710000,6.705256,2.327333,0.036074,2.311667,2.472333,2.518333,2.646667,7.755667,0.258333,,,,0.773257,0.027025,0.033501,0.036116,0.074568,0.105311
chimera,lotte,0.95,4,1,3,3,0.950687,0.000029,0.962845,0.000000,0.950687,0.000029,436.731000,4.959742,2.290000,0.026153,2.263000,2.428333,2.486000,2.614333,11.780000,0.375000,,,,4.301389,0.008718,0.038527,0.054562,0.097552,0.211575
chimera,lotte,0.95,5,1,3,3,0.950712,0.000010,0.962834,0.000020,0.950712,0.000010,423.281333,17.434863,2.365000,0.097964,2.335333,2.502667,2.562000,3.390333,10.500667,0.324667,,,,4.123244,0.075884,0.121500,0.146041,1.350626,0.183440
