system,dataset,target_recall,slots,runs,rows,recall_mean,recall_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,qps_mean,qps_std,avg_latency_ms_mean,avg_latency_ms_std,p50_ms_mean,p90_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean,stddev_ms_mean,gpu_mem_peak_mib_mean,gpu_mem_peak_mib_std,gpu_mem_peak_mib_max,max_ms_std,p50_ms_std,p90_ms_std,p95_ms_std,p99_ms_std,stddev_ms_std
chimera,hotpot,0.90,1,3,3,0.913920,0.000026,0.944300,0.000100,0.913920,0.000026,318.336000,3.435135,3.140000,0.033045,2.996333,3.308667,3.437667,9.968667,13.732667,1.018000,,,,0.686873,0.031390,0.041789,0.052539,1.781099,0.108476
chimera,hotpot,0.90,10,3,3,0.913920,0.000017,0.944233,0.000058,0.913920,0.000017,602.258667,5.853096,16.565333,0.156366,15.800333,22.420667,24.702333,30.108000,37.296333,4.423667,,,,2.032170,0.047606,0.342319,0.171214,0.512204,0.016166
chimera,hotpot,0.90,2,3,3,0.913923,0.000121,0.944300,0.000100,0.913923,0.000121,482.736333,11.959658,4.141667,0.103273,4.044333,4.493667,4.656667,7.414667,13.205000,0.767333,,,,1.058908,0.067300,0.072252,0.106171,1.911984,0.191106
chimera,hotpot,0.90,4,3,3,0.914017,0.000121,0.944233,0.000058,0.914017,0.000121,564.596667,12.051245,7.076667,0.153115,6.945667,7.892333,8.250000,10.385000,23.342000,1.271667,,,,4.523592,0.154675,0.208073,0.265332,0.904225,0.166209
chimera,hotpot,0.90,8,3,3,0.913937,0.000045,0.944267,0.000115,0.913937,0.000045,607.271333,0.679360,13.146667,0.014012,12.776333,16.656000,18.120000,21.245000,25.068667,2.713667,,,,0.987940,0.030288,0.109119,0.176162,0.579345,0.067870
chimera,hotpot,0.95,1,3,3,0.950123,0.000012,0.949500,0.000000,0.950123,0.000012,132.124000,2.752683,7.570333,0.159954,7.440333,8.198333,8.399667,12.942333,17.592667,1.107000,10205.380000,0.000000,10205.380000,5.202504,0.073894,0.094975,0.118888,1.499205,0.453013
chimera,hotpot,0.95,10,3,3,0.950117,0.000032,0.949500,0.000000,0.950117,0.000032,182.099000,0.460273,54.770333,0.139317,53.895000,69.861667,74.707333,85.714667,102.360333,11.265333,17367.380000,0.000000,17367.380000,1.559894,0.243532,0.515179,0.769170,3.945125,0.203721
chimera,hotpot,0.95,2,3,3,0.950120,0.000010,0.949500,0.000000,0.950120,0.000010,166.185000,2.920713,12.030667,0.213734,11.923000,13.330667,13.810667,17.352667,22.630000,1.416000,11011.380000,0.000000,11011.380000,5.743445,0.086643,0.162004,0.338565,3.388429,0.462994
chimera,hotpot,0.95,4,3,3,0.950103,0.000032,0.949500,0.000000,0.950103,0.000032,182.188333,0.964459,21.929000,0.115365,21.760333,24.536000,25.624333,28.215333,35.764333,2.227000,12613.380000,0.000000,12613.380000,6.837522,0.078137,0.245599,0.457193,1.348870,0.259856
chimera,hotpot,0.95,8,3,3,0.950103,0.000023,0.949500,0.000000,0.950103,0.000023,182.536000,0.065795,43.740667,0.017243,43.326667,52.846000,56.671667,64.566667,75.378667,7.283000,15815.380000,0.000000,15815.380000,1.437062,0.161856,0.320829,0.406466,0.917521,0.065092
chimera,lotte,0.90,1,3,3,0.909289,0.000023,0.957489,0.000000,0.909289,0.000023,501.881333,12.906285,1.993000,0.050210,1.913333,2.098333,2.187333,3.526333,16.668333,0.821000,,,,1.935835,0.034078,0.064299,0.088636,1.539851,0.089286
chimera,lotte,0.90,10,3,3,0.909260,0.000022,0.957444,0.000020,0.909260,0.000022,988.228333,3.787452,10.108667,0.039209,9.425333,14.647000,16.677333,21.272333,37.193000,3.514667,,,,5.772140,0.071696,0.092715,0.221297,0.822622,0.174772
chimera,lotte,0.90,2,3,3,0.909257,0.000005,0.957455,0.000000,0.909257,0.000005,780.091333,17.758477,2.563667,0.058141,2.484000,2.721000,2.808333,5.312667,15.102000,0.760000,,,,3.574745,0.036014,0.070000,0.075613,2.370690,0.129526
chimera,lotte,0.90,4,3,3,0.909261,0.000044,0.957398,0.000020,0.909261,0.000044,973.430667,17.588641,4.106333,0.075295,4.020333,4.446667,4.663000,7.330667,17.158667,0.872333,,,,2.455406,0.043662,0.071598,0.124133,2.124447,0.228056
chimera,lotte,0.90,8,3,3,0.909301,0.000022,0.957410,0.000020,0.909301,0.000022,1057.068667,13.458313,7.562000,0.096948,7.235333,10.099667,11.208333,13.880333,20.016000,1.966667,,,,3.517215,0.092181,0.250452,0.302292,0.681529,0.128204
chimera,lotte,0.95,1,3,3,0.950706,0.000021,0.962834,0.000020,0.950706,0.000021,419.372333,15.101023,2.386333,0.087643,2.349667,2.524667,2.581333,3.353000,10.821000,0.462667,9139.380000,0.000000,9139.380000,3.808947,0.094522,0.087409,0.079463,1.162475,0.079739
chimera,lotte,0.95,10,3,3,0.950711,0.000034,0.962834,0.000020,0.950711,0.000034,692.290667,4.909410,14.429667,0.100957,13.891333,19.260000,21.304000,25.633667,34.386667,3.661000,10839.380000,0.000000,10839.380000,2.417014,0.107156,0.380058,0.606388,0.814043,0.212516
chimera,lotte,0.95,2,3,3,0.950716,0.000016,0.962834,0.000040,0.950716,0.000016,556.830333,8.772276,3.587667,0.052691,3.536667,3.820000,3.933333,5.730000,19.445667,0.646000,9327.380000,0.000000,9327.380000,9.225177,0.044770,0.073301,0.083990,1.365332,0.084788
chimera,lotte,0.95,4,3,3,0.950710,0.000024,0.962845,0.000000,0.950710,0.000024,661.474000,3.335852,6.043667,0.029738,6.005000,6.733000,6.998667,8.193667,15.084333,0.723667,9705.380000,0.000000,9705.380000,3.493536,0.020421,0.025357,0.024194,0.273789,0.078545
chimera,lotte,0.95,8,3,3,0.950719,0.000046,0.962822,0.000020,0.950719,0.000046,703.090333,1.233843,11.367667,0.019553,11.130333,14.236667,15.587333,18.028000,25.997000,2.299000,10459.380000,0.000000,10459.380000,2.419924,0.033843,0.067300,0.175984,0.014731,0.014107
chimera,msmarco,0.90,1,3,3,0.917327,0.000011,0.963797,0.000015,0.917327,0.000011,512.157333,11.297307,1.953000,0.043267,1.922333,2.099333,2.164333,2.320333,14.995667,0.395333,,,,4.303829,0.037608,0.046058,0.051033,0.063003,0.075115
chimera,msmarco,0.90,10,3,3,0.917349,0.000051,0.963792,0.000030,0.917349,0.000051,994.964000,14.908630,10.048333,0.149373,9.409333,14.589333,16.597667,21.123000,34.864667,3.452333,,,,2.333241,0.115699,0.380831,0.591508,0.774078,0.166377
chimera,msmarco,0.90,2,3,3,0.917314,0.000038,0.963792,0.000030,0.917314,0.000038,805.089667,6.735078,2.483667,0.020429,2.443667,2.697667,2.800000,3.220333,13.127000,0.406333,,,,1.857775,0.027209,0.029939,0.033956,0.161636,0.099430
chimera,msmarco,0.90,4,3,3,0.917328,0.000039,0.963797,0.000015,0.917328,0.000039,979.668333,5.347322,4.081000,0.023580,4.039000,4.660667,4.887333,5.844667,14.853000,0.672000,,,,2.385557,0.013454,0.026026,0.022234,0.219933,0.104245
