system,dataset,label,slots,k,runs,rows,recall_mean,recall_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,qps_mean,qps_std,avg_latency_ms_mean,avg_latency_ms_std,p50_ms_mean,p90_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean,stddev_ms_mean,gpu_mem_peak_mib_mean,gpu_mem_peak_mib_std,gpu_mem_peak_mib_max,max_ms_std,p50_ms_std,p90_ms_std,p95_ms_std,p99_ms_std,stddev_ms_std
chimera,hotpot,a1,1,100,3,3,0.539693,0.000099,0.809800,0.000436,0.539693,0.000099,604.688667,23.966680,1.652000,0.065368,1.589333,1.720667,1.762000,4.138333,10.258667,0.669333,,,,0.979526,0.068923,0.030238,0.032924,1.987331,0.029400
chimera,hotpot,a2,1,100,3,3,0.614773,0.000143,0.852033,0.000404,0.614773,0.000143,623.559667,27.465953,1.605333,0.072286,1.539000,1.711000,1.751333,2.122333,14.911667,0.763667,,,,4.471620,0.072794,0.021656,0.031501,0.259610,0.226014
chimera,hotpot,a3,1,100,3,3,0.656640,0.000135,0.861333,0.000404,0.656640,0.000135,683.710333,36.302587,1.464667,0.078768,1.455333,1.579000,1.616667,1.795667,6.618667,0.224333,,,,1.705809,0.081427,0.127071,0.134188,0.286235,0.095296
chimera,hotpot,a4,1,100,3,3,0.588937,0.000071,0.856967,0.000058,0.588937,0.000071,683.948000,12.018374,1.462000,0.025239,1.450333,1.539667,1.570000,1.699000,5.566000,0.169000,,,,0.064583,0.025423,0.028572,0.028583,0.062554,0.013528
chimera,hotpot,b1,1,100,3,3,0.662087,0.000046,0.891800,0.000265,0.662087,0.000046,602.861000,16.793039,1.658667,0.046608,1.646667,1.775333,1.822000,1.964000,5.801333,0.183667,,,,0.191586,0.048748,0.070812,0.078823,0.045133,0.017039
chimera,hotpot,b2,1,100,3,3,0.725923,0.000025,0.909300,0.000100,0.725923,0.000025,615.477667,17.194762,1.625000,0.045826,1.598333,1.739667,1.795667,1.964333,6.020333,0.227667,,,,0.730714,0.050846,0.041861,0.039929,0.060451,0.084317
chimera,hotpot,b3,1,100,3,3,0.726597,0.000144,0.908267,0.000115,0.726597,0.000144,567.364667,29.858681,1.765000,0.091995,1.744000,1.885667,1.939000,2.411000,7.055000,0.248667,,,,0.078924,0.088221,0.082857,0.083361,0.442003,0.045567
chimera,hotpot,b4,1,100,3,3,0.776600,0.000144,0.919967,0.000321,0.776600,0.000144,583.658333,9.189145,1.713333,0.027062,1.695667,1.830667,1.876000,2.144000,5.817333,0.198333,,,,0.076872,0.025007,0.015695,0.019000,0.165502,0.019604
chimera,hotpot,c1,1,100,3,3,0.821067,0.000118,0.927033,0.000058,0.821067,0.000118,574.486000,10.942567,1.740667,0.032808,1.725000,1.861667,1.905333,2.040333,6.367667,0.193667,,,,0.756318,0.036428,0.022898,0.025968,0.069974,0.018502
chimera,hotpot,c2,1,100,3,3,0.806310,0.000030,0.924933,0.000058,0.806310,0.000030,515.686667,5.440541,1.939000,0.020075,1.920333,2.072333,2.126333,2.304667,6.137333,0.205333,,,,0.199756,0.018475,0.021385,0.018175,0.084032,0.012897
chimera,hotpot,c3,1,100,3,3,0.840680,0.000085,0.931333,0.000153,0.840680,0.000085,523.421000,5.308566,1.910333,0.019732,1.899333,2.059333,2.104667,2.209000,5.930000,0.184333,,,,0.254000,0.021502,0.019088,0.021962,0.020224,0.016258
chimera,hotpot,d1,1,100,3,3,0.872980,0.000056,0.938767,0.000208,0.872980,0.000056,450.306000,2.748330,2.220333,0.013577,2.199000,2.383667,2.444333,2.601000,7.249333,0.242333,,,,1.436235,0.014799,0.008505,0.014295,0.023388,0.039374
chimera,hotpot,e1,1,100,3,3,0.869707,0.000174,0.937733,0.000404,0.869707,0.000174,477.526667,17.224604,2.095333,0.076709,2.062333,2.237000,2.304000,2.893333,8.724667,0.370000,,,,3.965192,0.056199,0.085035,0.096005,0.641436,0.215933
chimera,hotpot,e2,1,100,3,3,0.851677,0.000119,0.935533,0.000289,0.851677,0.000119,455.917667,5.286672,2.193000,0.025515,2.172333,2.364333,2.435667,2.996000,6.198000,0.259333,,,,0.111906,0.024786,0.029143,0.020257,0.569909,0.038527
chimera,hotpot,f1,1,100,3,3,0.896010,0.000132,0.941900,0.000173,0.896010,0.000132,406.844000,4.898990,2.457333,0.029400,2.420333,2.660667,2.735333,3.528333,7.550667,0.316000,,,,0.299375,0.019630,0.033307,0.021362,0.549145,0.007211
chimera,hotpot,f2,1,100,3,3,0.895907,0.000116,0.942167,0.000058,0.895907,0.000116,382.909333,0.639851,2.611000,0.004359,2.587000,2.817333,2.903000,3.089000,6.840667,0.234667,,,,0.338847,0.004359,0.005508,0.014000,0.047697,0.022723
chimera,hotpot,g1,1,100,3,3,0.913803,0.000038,0.944167,0.000058,0.913803,0.000038,351.359667,10.442280,2.846000,0.084149,2.799000,3.075667,3.166667,4.044000,10.155333,0.416333,,,,4.443972,0.045640,0.059744,0.078079,1.190847,0.283768
chimera,hotpot,g2,1,100,3,3,0.920057,0.000096,0.945500,0.000100,0.920057,0.000096,349.385667,2.950669,2.862000,0.024269,2.820667,3.103000,3.201000,3.865000,6.939333,0.336667,,,,0.162820,0.025502,0.029206,0.019000,0.343981,0.025891
chimera,hotpot,h1,1,100,3,3,0.927557,0.000032,0.947033,0.000058,0.927557,0.000032,303.705000,4.428130,3.292667,0.048014,3.248333,3.578000,3.686333,4.281000,7.402000,0.389000,,,,0.095389,0.053519,0.063553,0.057744,0.282353,0.026000
chimera,hotpot,i1,1,100,3,3,0.935530,0.000070,0.947833,0.000058,0.935530,0.000070,269.685667,6.348795,3.709000,0.088085,3.671667,4.044667,4.147333,4.533333,8.081333,0.365667,,,,0.258256,0.073112,0.101594,0.102198,0.251806,0.083913
chimera,hotpot,j1,1,100,3,3,0.941427,0.000106,0.948133,0.000058,0.941427,0.000106,233.920000,4.642600,4.275333,0.085172,4.210000,4.666333,4.803000,6.671000,11.941333,0.584333,,,,6.320782,0.035157,0.060352,0.073546,2.878245,0.412994
