run_index,dataset,target_recall,system,label,recall,recall_at_10,recall_at_100,qps,avg_latency_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,stddev_ms,gpu_mem_peak_mib,log
1,hotpot,0.90,chimera,r090_q4,0.91384,0.9441,0.91384,328.823,3.041,2.970,3.283,3.376,5.591,10.547,0.563,9661.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.90/chimera/r090_q4_slots1_run1.log
1,hotpot,0.90,chimera_nolut,r090_q4,0.91383,0.9444,0.91383,250.871,3.984,3.870,4.345,4.515,7.252,11.704,0.744,9661.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.90/chimera_nolut/r090_q4_slots1_run1.log
1,hotpot,0.90,chimera_nolut_nosum,r090_q4,0.91399,0.9441,0.91399,167.889,5.956,5.869,6.649,6.996,9.629,13.632,0.926,9661.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.90/chimera_nolut_nosum/r090_q4_slots1_run1.log
1,hotpot,0.90,chimera_nosum,r090_q4,0.91395,0.9443,0.91395,194.883,5.127,5.124,5.581,5.733,8.204,11.577,0.779,9661.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.90/chimera_nosum/r090_q4_slots1_run1.log
1,hotpot,0.90,v9,r090_q4,0.91375,0.9441,0.91375,335.781,2.978,2.919,3.228,3.312,5.239,7.200,0.399,15061.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.90/v9/r090_q4_slots1_run1.log
1,hotpot,0.95,chimera,r095_q9,0.95011,0.9495,0.95011,132.202,7.561,7.420,8.197,8.474,14.540,15.501,1.047,10205.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.95/chimera/r095_q9_slots1_run1.log
1,hotpot,0.95,chimera_nolut,r095_q9,0.95011,0.9495,0.95011,95.300,10.493,10.339,11.430,11.910,16.962,18.383,1.171,10205.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.95/chimera_nolut/r095_q9_slots1_run1.log
1,hotpot,0.95,chimera_nolut_nosum,r095_q9,0.95008,0.9495,0.95008,79.959,12.503,12.177,13.299,15.196,21.164,25.608,1.733,10205.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.95/chimera_nolut_nosum/r095_q9_slots1_run1.log
1,hotpot,0.95,chimera_nosum,r095_q9,0.9501,0.9495,0.9501,106.644,9.376,9.171,9.941,10.385,15.977,17.092,1.254,10205.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.95/chimera_nosum/r095_q9_slots1_run1.log
1,hotpot,0.95,v9,r095_q9,0.9501,0.9495,0.9501,146.321,6.834,6.739,7.384,7.657,10.026,14.726,0.842,15605.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.95/v9/r095_q9_slots1_run1.log
