dataset,target_recall,system,recall_at_100,qps,avg_latency_ms,gpu_mem_peak_mib,log
hotpot,0.90,chimera,0.91384,328.823,3.041,9661.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.90/chimera/r090_q4_slots1_run1.log
hotpot,0.90,chimera_nolut,0.91383,250.871,3.984,9661.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.90/chimera_nolut/r090_q4_slots1_run1.log
hotpot,0.90,chimera_nolut_nosum,0.91399,167.889,5.956,9661.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.90/chimera_nolut_nosum/r090_q4_slots1_run1.log
hotpot,0.90,chimera_nosum,0.91395,194.883,5.127,9661.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.90/chimera_nosum/r090_q4_slots1_run1.log
hotpot,0.90,v9,0.91375,335.781,2.978,15061.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.90/v9/r090_q4_slots1_run1.log
hotpot,0.95,chimera,0.95011,132.202,7.561,10205.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.95/chimera/r095_q9_slots1_run1.log
hotpot,0.95,chimera_nolut,0.95011,95.300,10.493,10205.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.95/chimera_nolut/r095_q9_slots1_run1.log
hotpot,0.95,chimera_nolut_nosum,0.95008,79.959,12.503,10205.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.95/chimera_nolut_nosum/r095_q9_slots1_run1.log
hotpot,0.95,chimera_nosum,0.9501,106.644,9.376,10205.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.95/chimera_nosum/r095_q9_slots1_run1.log
hotpot,0.95,v9,0.9501,146.321,6.834,15605.38,profiling/chimera_variant_targets/logs/20260429T154740Z/hotpot/0.95/v9/r095_q9_slots1_run1.log
lotte,0.90,chimera,0.909311,532.468,1.878,9087.38,profiling/chimera_variant_targets/logs/20260429T154740Z/lotte/0.90/chimera/r090_c1_slots1_run1.log
lotte,0.90,chimera_nolut,0.909287,442.645,2.259,9085.38,profiling/chimera_variant_targets/logs/20260429T154740Z/lotte/0.90/chimera_nolut/r090_c1_slots1_run1.log
lotte,0.90,chimera_nolut_nosum,0.909263,229.951,4.348,9085.38,profiling/chimera_variant_targets/logs/20260429T154740Z/lotte/0.90/chimera_nolut_nosum/r090_c1_slots1_run1.log
lotte,0.90,chimera_nosum,0.909273,234.137,4.270,9087.38,profiling/chimera_variant_targets/logs/20260429T154740Z/lotte/0.90/chimera_nosum/r090_c1_slots1_run1.log
lotte,0.90,v9,0.909263,543.080,1.841,14165.38,profiling/chimera_variant_targets/logs/20260429T154740Z/lotte/0.90/v9/r090_c1_slots1_run1.log
lotte,0.95,chimera,0.950706,384.008,2.603,9139.38,profiling/chimera_variant_targets/logs/20260429T154740Z/lotte/0.95/chimera/r095_f1_slots1_run1.log
lotte,0.95,chimera_nolut,0.950768,295.576,3.383,9139.38,profiling/chimera_variant_targets/logs/20260429T154740Z/lotte/0.95/chimera_nolut/r095_f1_slots1_run1.log
lotte,0.95,chimera_nolut_nosum,0.950699,169.828,5.887,9139.38,profiling/chimera_variant_targets/logs/20260429T154740Z/lotte/0.95/chimera_nolut_nosum/r095_f1_slots1_run1.log
lotte,0.95,chimera_nosum,0.950679,196.122,5.097,9139.38,profiling/chimera_variant_targets/logs/20260429T154740Z/lotte/0.95/chimera_nosum/r095_f1_slots1_run1.log
lotte,0.95,v9,0.950676,425.368,2.349,14217.38,profiling/chimera_variant_targets/logs/20260429T154740Z/lotte/0.95/v9/r095_f1_slots1_run1.log
msmarco,0.90,chimera,0.917327,503.800,1.985,17995.38,profiling/chimera_variant_targets/logs/20260429T154740Z/msmarco/0.90/chimera/r090_b2_slots1_run1.log
msmarco,0.90,chimera_nolut,0.917315,349.716,2.859,17995.38,profiling/chimera_variant_targets/logs/20260429T154740Z/msmarco/0.90/chimera_nolut/r090_b2_slots1_run1.log
msmarco,0.90,chimera_nolut_nosum,0.917307,280.190,3.569,17995.38,profiling/chimera_variant_targets/logs/20260429T154740Z/msmarco/0.90/chimera_nolut_nosum/r090_b2_slots1_run1.log
msmarco,0.90,chimera_nosum,0.917325,380.961,2.625,17995.38,profiling/chimera_variant_targets/logs/20260429T154740Z/msmarco/0.90/chimera_nosum/r090_b2_slots1_run1.log
msmarco,0.90,v9,0.917344,487.984,2.049,29381.38,profiling/chimera_variant_targets/logs/20260429T154740Z/msmarco/0.90/v9/r090_b2_slots1_run1.log
msmarco,0.95,chimera,0.95186,361.356,2.767,18057.38,profiling/chimera_variant_targets/logs/20260429T154740Z/msmarco/0.95/chimera/r095_q2_slots1_run1.log
msmarco,0.95,chimera_nolut,0.951871,228.059,4.385,18057.38,profiling/chimera_variant_targets/logs/20260429T154740Z/msmarco/0.95/chimera_nolut/r095_q2_slots1_run1.log
msmarco,0.95,chimera_nolut_nosum,0.951858,181.069,5.523,18057.38,profiling/chimera_variant_targets/logs/20260429T154740Z/msmarco/0.95/chimera_nolut_nosum/r095_q2_slots1_run1.log
msmarco,0.95,chimera_nosum,0.951881,262.056,3.816,18057.38,profiling/chimera_variant_targets/logs/20260429T154740Z/msmarco/0.95/chimera_nosum/r095_q2_slots1_run1.log
msmarco,0.95,v9,0.951878,365.062,2.739,29443.38,profiling/chimera_variant_targets/logs/20260429T154740Z/msmarco/0.95/v9/r095_q2_slots1_run1.log
