system,dataset,target_recall,slots,runs,rows,recall_mean,recall_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,qps_mean,qps_std,avg_latency_ms_mean,avg_latency_ms_std,p50_ms_mean,p90_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean,stddev_ms_mean,gpu_mem_peak_mib_mean,gpu_mem_peak_mib_std,gpu_mem_peak_mib_max,max_ms_std,p50_ms_std,p90_ms_std,p95_ms_std,p99_ms_std,stddev_ms_std
chimera,hotpot,0.90,1,3,3,0.913967,0.000040,0.944200,0.000100,0.913967,0.000040,318.253333,24.076016,3.154000,0.248815,3.048000,3.384667,3.514333,6.865000,10.989667,0.740000,,,,7.185713,0.153480,0.223019,0.271982,3.559316,0.596040
chimera,hotpot,0.95,1,3,3,0.950103,0.000015,0.949500,0.000000,0.950103,0.000015,132.058333,0.226772,7.572000,0.013115,7.443000,8.202333,8.425667,13.089333,16.645333,1.029333,10205.380000,0.000000,10205.380000,4.368399,0.038118,0.043890,0.023798,2.574298,0.323160
chimera,lotte,0.90,1,3,3,0.909285,0.000023,0.957455,0.000034,0.909285,0.000023,515.283333,19.974302,1.941667,0.075725,1.859333,2.104333,2.197000,4.352000,11.390333,0.595333,,,,5.256581,0.032563,0.081746,0.095063,1.239747,0.263944
chimera,lotte,0.95,1,3,3,0.950710,0.000021,0.962845,0.000000,0.950710,0.000021,415.842667,7.566300,2.405000,0.043209,2.363667,2.563333,2.650000,2.990000,11.391667,0.418667,9139.380000,0.000000,9139.380000,4.087230,0.034530,0.060501,0.067134,0.184502,0.116629
chimera,msmarco,0.90,1,3,3,0.917316,0.000036,0.963802,0.000008,0.917316,0.000036,492.533333,4.144805,2.030333,0.016862,1.965333,2.157333,2.232000,3.851667,12.880333,0.566000,,,,5.495437,0.026633,0.047606,0.056789,1.319057,0.222830
chimera,msmarco,0.95,1,3,3,0.951845,0.000024,0.965783,0.000008,0.951845,0.000024,362.895000,5.050339,2.755667,0.038214,2.723000,2.977667,3.065333,3.395000,9.892000,0.331667,18057.380000,0.000000,18057.380000,3.249155,0.032047,0.049166,0.051617,0.267642,0.032868
chimera_nolut,hotpot,0.90,1,3,3,0.913837,0.000101,0.944267,0.000058,0.913837,0.000101,250.606667,5.644434,3.990667,0.089389,3.858667,4.321667,4.486333,7.276000,15.053000,0.932000,,,,4.000457,0.074036,0.085008,0.112731,2.255112,0.218989
chimera_nolut,hotpot,0.95,1,3,3,0.950093,0.000038,0.949500,0.000000,0.950093,0.000038,95.870667,0.776155,10.430667,0.084855,10.324667,11.348667,11.694333,13.727667,20.148667,0.982667,10205.380000,0.000000,10205.380000,4.452269,0.055824,0.086408,0.179525,1.032664,0.115699
chimera_nolut,lotte,0.90,1,3,3,0.909284,0.000006,0.957466,0.000020,0.909284,0.000006,459.962667,26.673876,2.178000,0.122160,2.100667,2.304333,2.406000,4.877333,10.626667,0.585000,,,,4.337087,0.076002,0.109500,0.140300,2.084119,0.326239
chimera_nolut,lotte,0.95,1,3,3,0.950703,0.000018,0.962845,0.000000,0.950703,0.000018,315.760667,8.511658,3.168000,0.086793,3.103333,3.390000,3.498667,5.140333,10.927333,0.512333,9139.380000,0.000000,9139.380000,3.905138,0.044814,0.071190,0.093858,2.215042,0.280143
chimera_nolut,msmarco,0.90,1,3,3,0.917324,0.000015,0.963797,0.000000,0.917324,0.000015,342.663333,8.290406,2.919333,0.071178,2.826000,3.264667,3.454000,5.652000,13.514000,0.609000,,,,4.323720,0.037510,0.050521,0.059195,2.090153,0.242297
chimera_nolut,msmarco,0.95,1,3,3,0.951859,0.000013,0.965769,0.000009,0.951859,0.000013,236.006333,4.589300,4.238333,0.083189,4.175000,4.759000,4.989667,5.493667,11.355667,0.464667,18057.380000,0.000000,18057.380000,2.940243,0.075478,0.091886,0.092932,0.145717,0.047248
chimera_nolut_nosum,hotpot,0.90,1,3,3,0.913860,0.000156,0.944233,0.000208,0.913860,0.000156,168.570667,2.086282,5.931000,0.072062,5.833333,6.573333,6.811000,10.230000,17.131333,1.054000,,,,3.177083,0.015011,0.044736,0.067535,2.700366,0.293338
chimera_nolut_nosum,hotpot,0.95,1,3,3,0.950120,0.000017,0.949500,0.000000,0.950120,0.000017,82.011667,0.481938,12.192000,0.072643,12.120667,13.100333,13.416000,15.894000,19.717667,0.951000,10205.380000,0.000000,10205.380000,0.595921,0.030551,0.058484,0.137634,2.091550,0.142253
chimera_nolut_nosum,lotte,0.90,1,3,3,0.909292,0.000041,0.957489,0.000034,0.909292,0.000041,229.956667,2.250835,4.348000,0.042297,4.330333,4.685333,4.778667,7.228333,15.763333,0.645667,,,,2.302729,0.019655,0.020133,0.019858,1.786596,0.211590
chimera_nolut_nosum,lotte,0.95,1,3,3,0.950703,0.000023,0.962845,0.000035,0.950703,0.000023,172.998667,0.544052,5.780000,0.018000,5.728000,6.050333,6.157333,7.515667,13.706667,0.493333,9139.380000,0.000000,9139.380000,5.241419,0.002646,0.008327,0.011676,0.906762,0.200978
chimera_nolut_nosum,msmarco,0.90,1,3,3,0.917339,0.000048,0.963816,0.000016,0.917339,0.000048,279.284667,0.908320,3.580667,0.011930,3.506000,3.941000,4.102667,4.807667,14.117333,0.588333,,,,4.739791,0.007810,0.007550,0.006807,0.463817,0.061158
chimera_nolut_nosum,msmarco,0.95,1,3,3,0.951864,0.000019,0.965769,0.000009,0.951864,0.000019,183.506333,1.099883,5.449333,0.032960,5.373667,6.050333,6.293333,7.407333,14.189667,0.585000,18057.380000,0.000000,18057.380000,1.841748,0.016073,0.030665,0.037899,0.877980,0.078479
chimera_nosum,hotpot,0.90,1,3,3,0.913937,0.000055,0.944233,0.000153,0.913937,0.000055,194.516333,0.906144,5.137000,0.024434,5.123000,5.566333,5.692667,8.754333,14.071000,0.901667,,,,0.999926,0.005196,0.003786,0.019218,1.050336,0.112216
chimera_nosum,hotpot,0.95,1,3,3,0.950083,0.000025,0.949500,0.000000,0.950083,0.000025,107.844333,1.046715,9.272667,0.090754,9.174667,9.880667,10.172667,13.358000,18.735667,0.940333,10205.380000,0.000000,10205.380000,4.257731,0.045391,0.062292,0.238462,0.661728,0.218825
chimera_nosum,lotte,0.90,1,3,3,0.909289,0.000028,0.957478,0.000020,0.909289,0.000028,238.526667,4.493339,4.192667,0.079198,4.175000,4.337000,4.396667,7.372000,14.538667,0.661000,,,,5.248408,0.022539,0.029138,0.043294,2.872190,0.349138
