threads,implementation,dataset,target_recall,selection_label,recall,k,queries,avg_end_to_end_ms,avg_stage1_ms,avg_stage2_ms,avg_stage3_ms,stage1_plus_stage2_ms,stage1_pct_end_to_end,stage2_pct_end_to_end,stage3_pct_end_to_end,stage1_plus_stage2_pct_end_to_end,avg_stage1_probe_ms,avg_stage1_prepare_ms,avg_stage1_scan_ms,avg_stage1_reduce_ms,avg_stage1_reduce_merge_ms,avg_stage1_reduce_sort_ms,avg_stage2_lut_ms,avg_stage2_score_docs_ms,avg_stage2_select_topk_ms,avg_stage2_materialize_ms,avg_stage3_prepare_ms,avg_stage3_score_docs_ms,avg_stage3_select_topk_ms,hostname,cpu_model,slurm_job_id,slurm_array_task_id,batch_id,log_file,avg_profiled_total_ms,avg_accounted_ms,avg_unaccounted_ms,avg_query_setup_ms,avg_stage1_reduce_within_query_merge_ms,avg_stage1_reduce_cross_query_merge_ms,avg_stage1_cleanup_ms,avg_stage12_ms,stage12_pct_end_to_end,stage1_pct_profiled_total,stage2_pct_profiled_total,stage3_pct_profiled_total,stage12_pct_profiled_total,query_setup_pct_end_to_end,stage1_doc_accum_mode,stage3_schedule,stage3_quantized_payload,stage3_ex_bits,stage3_combine_mode
1,cpu_search_fast_dynamic_thread_profile,hotpot,0.90,f1,0.909710,100,1000,116.244,64.560,39.362,12.303,103.922000,55.538,33.862,10.583,89.399883,13.370,0.016,33.158,18.009,17.981,0.012,0.045,35.691,0.081,3.540,0.007,12.287,0.009,,,,,profile_cpu_v3_fast_thread_scaling_k100_20260427T111846Z_profile1_t1,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic_thread_profile/hotpot/profile_k100_20260427T160841Z_job28680080_task0_f1.log,116.225,116.244,0.000,0.019,0.000,17.981,0.007,103.922,89.400,55.548,33.867,10.585,89.415,0.017,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,
2,cpu_search_fast_dynamic_thread_profile,hotpot,0.90,f1,0.909710,100,1000,66.628,39.151,19.641,7.811,58.792000,58.761,29.479,11.724,88.239179,9.246,0.014,21.373,8.513,8.490,0.008,0.041,17.485,0.072,2.034,0.008,7.794,0.009,,,,,profile_cpu_v3_fast_thread_scaling_k100_20260427T111846Z_profile1_t2,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic_thread_profile/hotpot/profile_k100_20260427T160841Z_job28680085_task0_f1.log,66.604,66.628,0.000,0.024,0.000,8.490,0.005,58.792,88.240,58.782,29.490,11.728,88.272,0.036,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,
4,cpu_search_fast_dynamic_thread_profile,hotpot,0.90,f1,0.909710,100,1000,32.120,18.951,9.216,3.930,28.167000,59.002,28.693,12.235,87.693026,4.593,0.015,9.451,4.886,4.859,0.010,0.042,7.341,0.076,1.745,0.008,3.912,0.009,,,,,profile_cpu_v3_fast_thread_scaling_k100_20260427T111846Z_profile1_t4,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic_thread_profile/hotpot/profile_k100_20260427T161202Z_job28680092_task0_f1.log,32.097,32.120,0.000,0.022,0.000,4.859,0.006,28.167,87.695,59.044,28.713,12.244,87.756,0.070,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,
8,cpu_search_fast_dynamic_thread_profile,hotpot,0.90,f1,0.909710,100,1000,20.308,12.660,5.376,2.248,18.036000,62.344,26.471,11.071,88.812291,2.591,0.015,5.476,4.572,4.542,0.011,0.041,3.874,0.076,1.373,0.007,2.231,0.010,,,,,profile_cpu_v3_fast_thread_scaling_k100_20260427T111846Z_profile1_t8,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic_thread_profile/hotpot/profile_k100_20260427T161430Z_job28680097_task0_f1.log,20.284,20.308,0.000,0.023,0.000,4.542,0.006,18.036,88.815,62.415,26.502,11.084,88.916,0.114,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,
16,cpu_search_fast_dynamic_thread_profile,hotpot,0.90,f1,0.909710,100,1000,13.069,8.730,2.997,1.315,11.727000,66.800,22.929,10.065,89.731426,1.686,0.014,4.290,2.733,2.699,0.009,0.042,2.095,0.077,0.774,0.006,1.299,0.010,,,,,profile_cpu_v3_fast_thread_scaling_k100_20260427T111846Z_profile1_t16,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic_thread_profile/hotpot/profile_k100_20260427T161527Z_job28680102_task0_f1.log,13.042,13.069,0.000,0.027,0.000,2.699,0.008,11.727,89.729,66.937,22.977,10.086,89.914,0.205,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,
32,cpu_search_fast_dynamic_thread_profile,hotpot,0.90,f1,0.909710,100,1000,8.931,5.777,2.531,0.586,8.308000,64.683,28.335,6.558,93.024297,1.137,0.017,2.712,1.902,1.854,0.010,0.048,1.275,0.090,1.106,0.006,0.568,0.011,,,,,profile_cpu_v3_fast_thread_scaling_k100_20260427T111846Z_profile1_t32,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic_thread_profile/hotpot/profile_k100_20260427T161630Z_job28680107_task0_f1.log,8.894,8.931,0.000,0.038,0.000,1.854,0.007,8.308,93.018,64.959,28.455,6.586,93.414,0.424,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,
36,cpu_search_fast_dynamic_thread_profile,hotpot,0.90,f1,0.909710,100,1000,9.060,6.079,2.404,0.536,8.483000,67.101,26.532,5.914,93.631347,1.154,0.017,2.961,1.940,1.893,0.010,0.048,1.166,0.095,1.082,0.007,0.517,0.011,,,,,profile_cpu_v3_fast_thread_scaling_k100_20260427T111846Z_profile1_t36,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic_thread_profile/hotpot/profile_k100_20260427T161752Z_job28680112_task0_f1.log,9.019,9.060,0.000,0.041,0.000,1.893,0.006,8.483,93.632,67.407,26.653,5.941,94.059,0.453,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,
1,cpu_search_fast_dynamic_thread_profile,hotpot,0.95,i1,0.957730,100,1000,197.926,112.223,61.038,24.647,173.261000,56.699,30.839,12.453,87.538272,22.082,0.012,71.069,19.055,19.026,0.017,0.045,54.497,0.151,6.340,0.013,24.624,0.009,,,,,profile_cpu_v3_fast_thread_scaling_k100_20260427T111846Z_profile1_t1,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic_thread_profile/hotpot/profile_k100_20260427T160841Z_job28680081_task1_i1.log,197.908,197.926,0.000,0.018,0.000,19.026,0.004,173.261,87.538,56.705,30.841,12.454,87.546,0.009,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,
2,cpu_search_fast_dynamic_thread_profile,hotpot,0.95,i1,0.957730,100,1000,123.991,71.215,37.261,15.492,108.476000,57.435,30.052,12.495,87.486995,15.039,0.016,42.407,13.748,13.714,0.016,0.043,32.624,0.152,4.434,0.015,15.466,0.011,,,,,profile_cpu_v3_fast_thread_scaling_k100_20260427T111846Z_profile1_t2,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic_thread_profile/hotpot/profile_k100_20260427T160841Z_job28680086_task1_i1.log,123.969,123.991,0.000,0.023,0.000,13.714,0.006,108.476,87.487,57.446,30.057,12.497,87.503,0.018,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,
4,cpu_search_fast_dynamic_thread_profile,hotpot,0.95,i1,0.957730,100,1000,61.258,35.938,17.500,7.799,53.438000,58.666,28.567,12.731,87.234320,7.636,0.013,20.341,7.942,7.908,0.016,0.042,14.642,0.155,2.651,0.014,7.773,0.010,,,,,profile_cpu_v3_fast_thread_scaling_k100_20260427T111846Z_profile1_t4,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic_thread_profile/hotpot/profile_k100_20260427T161248Z_job28680093_task1_i1.log,61.237,61.258,0.000,0.022,0.000,7.908,0.005,53.438,87.233,58.687,28.577,12.735,87.265,0.036,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,
