implementation,dataset,batch_id,selection_label,target_recall,k,queries,avg_end_to_end_ms,avg_profiled_total_ms,avg_accounted_ms,avg_unaccounted_ms,avg_query_setup_ms,avg_stage1_ms,avg_stage1_probe_ms,avg_stage1_prepare_ms,avg_stage1_scan_ms,avg_stage1_reduce_ms,avg_stage1_reduce_merge_ms,avg_stage1_reduce_within_query_merge_ms,avg_stage1_reduce_cross_query_merge_ms,avg_stage1_reduce_sort_ms,avg_stage1_cleanup_ms,avg_stage2_ms,avg_stage2_lut_ms,avg_stage2_score_docs_ms,avg_stage2_select_topk_ms,avg_stage2_materialize_ms,avg_stage3_ms,avg_stage3_prepare_ms,avg_stage3_score_docs_ms,avg_stage3_select_topk_ms,avg_stage12_ms,stage1_pct_end_to_end,stage2_pct_end_to_end,stage3_pct_end_to_end,stage12_pct_end_to_end,stage1_pct_profiled_total,stage2_pct_profiled_total,stage3_pct_profiled_total,stage12_pct_profiled_total,query_setup_pct_end_to_end,stage1_doc_accum_mode,stage3_schedule,stage3_quantized_payload,stage3_ex_bits,stage3_combine_mode,log_file
cpu_search_fast_dynamic,hotpot,profile_cpu_v3_fast_vs_parallel_t32_profile_20260427T011927Z_cpu_search_fast_dynamic,b1,0.90,10,1000,3.103,3.072,3.103,0.000,0.031,2.161,0.538,0.011,1.004,0.600,0.566,0.000,0.566,0.003,0.008,0.699,0.044,0.405,0.027,0.216,0.212,0.001,0.208,0.003,2.860,69.628,22.524,6.847,92.153,70.332,22.752,6.916,93.084,0.999,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic/hotpot/profile_k10_20260427T011941Z_job28679906_task4_b1.log
cpu_search_fast_dynamic,hotpot,profile_cpu_v3_fast_vs_parallel_t32_profile_20260427T011927Z_cpu_search_fast_dynamic,c3,0.95,10,1000,6.388,6.365,6.388,0.000,0.023,4.289,0.920,0.014,1.979,1.369,1.325,0.000,1.325,0.006,0.006,1.585,0.048,0.793,0.058,0.676,0.491,0.005,0.483,0.002,5.874,67.136,24.818,7.689,91.954,67.377,24.906,7.717,92.283,0.357,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic/hotpot/profile_k10_20260427T011941Z_job28679907_task5_c3.log
cpu_search_fast_dynamic,lotte,profile_cpu_v3_fast_vs_parallel_t32_profile_20260427T011927Z_cpu_search_fast_dynamic,a4,0.90,10,2931,2.660,2.637,2.660,0.000,0.023,1.446,0.342,0.010,0.612,0.474,0.444,0.000,0.444,0.002,0.007,0.887,0.050,0.469,0.019,0.338,0.304,0.001,0.300,0.002,2.333,54.375,33.351,11.418,87.726,54.845,33.638,11.517,88.483,0.854,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic/lotte/profile_k10_20260427T011941Z_job28679902_task0_a4.log
cpu_search_fast_dynamic,lotte,profile_cpu_v3_fast_vs_parallel_t32_profile_20260427T011927Z_cpu_search_fast_dynamic,b1,0.95,10,2931,3.370,3.346,3.370,0.000,0.024,1.929,0.438,0.009,0.904,0.571,0.538,0.000,0.538,0.003,0.008,1.063,0.047,0.579,0.022,0.403,0.354,0.001,0.351,0.002,2.992,57.246,31.533,10.516,88.780,57.652,31.757,10.590,89.410,0.703,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic/lotte/profile_k10_20260427T011941Z_job28679903_task1_b1.log
cpu_search_fast_dynamic,msmarco,profile_cpu_v3_fast_vs_parallel_t32_profile_20260427T011927Z_cpu_search_fast_dynamic,a1,0.90,10,6980,2.413,2.385,2.413,0.000,0.028,1.585,0.357,0.010,0.645,0.565,0.533,0.000,0.533,0.002,0.008,0.610,0.041,0.359,0.019,0.183,0.190,0.001,0.187,0.002,2.195,65.674,25.290,7.884,90.964,66.439,25.585,7.976,92.024,1.151,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic/msmarco/profile_k10_20260427T011941Z_job28679910_task8_a1.log
cpu_search_fast_dynamic,msmarco,profile_cpu_v3_fast_vs_parallel_t32_profile_20260427T011927Z_cpu_search_fast_dynamic,a1,0.95,10,6980,2.698,2.663,2.698,0.000,0.035,1.785,0.383,0.010,0.690,0.693,0.660,0.000,0.660,0.002,0.008,0.670,0.044,0.413,0.019,0.185,0.208,0.001,0.204,0.002,2.456,66.173,24.841,7.696,91.014,67.038,25.166,7.796,92.204,1.289,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic/msmarco/profile_k10_20260427T012022Z_job28679932_task9_a1.log
cpu_search_fast_dynamic,hotpot,profile_cpu_v3_fast_vs_parallel_t32_profile_20260427T011927Z_cpu_search_fast_dynamic,f1,0.90,100,1000,10.561,10.539,10.561,0.000,0.022,7.378,1.372,0.015,2.640,3.343,3.295,0.000,3.295,0.009,0.008,2.567,0.046,1.716,0.094,0.702,0.593,0.006,0.575,0.011,9.945,69.864,24.306,5.618,94.170,70.012,24.358,5.630,94.370,0.212,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic/hotpot/profile_k100_20260427T011941Z_job28679908_task6_f1.log
cpu_search_fast_dynamic,hotpot,profile_cpu_v3_fast_vs_parallel_t32_profile_20260427T011927Z_cpu_search_fast_dynamic,i1,0.95,100,1000,42.736,42.661,42.736,0.000,0.075,27.450,3.214,0.035,14.071,10.116,9.978,0.000,9.978,0.053,0.012,10.736,0.108,6.279,0.497,3.830,4.476,0.028,4.413,0.033,38.186,64.230,25.122,10.472,89.353,64.343,25.166,10.491,89.509,0.175,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic/hotpot/profile_k100_20260427T011941Z_job28679909_task7_i1.log
cpu_search_fast_dynamic,lotte,profile_cpu_v3_fast_vs_parallel_t32_profile_20260427T011927Z_cpu_search_fast_dynamic,c1,0.90,100,2931,5.537,5.513,5.537,0.000,0.024,2.711,0.529,0.013,1.182,0.979,0.942,0.000,0.942,0.006,0.007,2.173,0.048,1.170,0.045,0.899,0.628,0.004,0.614,0.010,4.885,48.967,39.251,11.347,88.218,49.180,39.423,11.397,88.603,0.434,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic/lotte/profile_k100_20260427T011941Z_job28679904_task2_c1.log
cpu_search_fast_dynamic,lotte,profile_cpu_v3_fast_vs_parallel_t32_profile_20260427T011927Z_cpu_search_fast_dynamic,d1,0.95,100,2931,8.030,8.001,8.030,0.000,0.029,4.804,0.895,0.015,2.206,1.680,1.635,0.000,1.635,0.007,0.008,2.408,0.048,1.442,0.054,0.855,0.789,0.005,0.773,0.010,7.212,59.824,29.990,9.825,89.814,60.041,30.099,9.860,90.140,0.360,sorted_doc_merge_fast,dynamic_1,doc_4bit_ex_sidecar ex_bits=4 combine_mode=one_bit_plus_ex_bits,,,/mnt/nfs/work1/marco/juelinliu/gpu-mvr/slurm/logs/cpu_search_profile/cpu_search_fast_dynamic/lotte/profile_k100_20260427T011941Z_job28679905_task3_d1.log
