implementation,dataset,target_recall,label,threads,trial_count,queries,k,recall,qps_mean,qps_std,qps_min,qps_max,avg_latency_ms_mean,avg_latency_ms_std,p50_ms_mean,p90_ms_mean,p95_ms_mean,p99_ms_mean,qps_speedup_vs_t1_mean,qps_speedup_vs_t1_std,latency_speedup_vs_t1_mean,parallel_efficiency_qps_vs_t1_mean,trial_qps,trial_latency_ms,trial_hosts,qps_speedup_from_mean_qps,parallel_efficiency_from_mean_qps
cpu_search_fast_dynamic,lotte,0.90,c1,1,3,2931,100,0.916196,14.996667,1.432871,14.147000,16.651000,67.067333,6.073882,66.854667,73.526333,75.872000,82.200333,1.000000,0.000000,1.000000,1.000000,14.192;14.147;16.651,70.462;70.685;60.055,swarm066;swarm066;swarm096,1.000000,1.000000
cpu_search_fast_dynamic,lotte,0.90,c1,2,3,2931,100,0.916196,27.981000,0.021703,27.956000,27.995000,35.738333,0.028361,35.511000,39.579333,41.030333,46.419667,1.876599,0.169317,1.876582,0.938300,27.995;27.956;27.992,35.720;35.771;35.724,swarm063;swarm097;swarm064,1.865815,0.932907
cpu_search_fast_dynamic,lotte,0.90,c1,4,3,2931,100,0.916196,53.218667,0.782830,52.349000,53.867000,18.792667,0.277923,18.709333,20.708667,21.326000,22.727667,3.572353,0.371654,3.572385,0.893088,53.440;53.867;52.349,18.712;18.564;19.102,swarm066;swarm066;swarm064,3.548700,0.887175
cpu_search_fast_dynamic,lotte,0.90,c1,8,3,2931,100,0.916196,86.884000,2.281001,85.482000,89.516000,11.514333,0.297577,11.407000,12.808000,13.286667,14.636667,5.831328,0.609758,5.831469,0.728916,89.516;85.482;85.654,11.171;11.698;11.674,swarm064;swarm064;swarm095,5.793554,0.724194
cpu_search_fast_dynamic,lotte,0.90,c1,16,3,2931,100,0.916196,143.031667,5.723942,136.868000,148.180000,6.998667,0.283283,6.921000,7.646000,7.893667,8.494333,9.614662,1.218823,9.615004,0.600916,144.047;148.180;136.868,6.942;6.748;7.306,swarm064;swarm097;swarm096,9.537564,0.596098
cpu_search_fast_dynamic,lotte,0.90,c1,32,3,2931,100,0.916196,185.023333,4.642612,180.144000,189.386000,5.406667,0.136361,5.334000,5.857333,6.025000,6.458000,12.394116,0.908396,12.394719,0.387316,180.144;185.540;189.386,5.551;5.389;5.280,swarm097;swarm099;swarm064,12.337630,0.385551
cpu_search_fast_dynamic,lotte,0.90,c1,36,3,2931,100,0.916196,186.307667,4.499729,183.381000,191.489000,5.369333,0.127986,5.327000,5.912000,6.105667,6.635333,12.505886,1.323402,12.506156,0.347386,184.053;191.489;183.381,5.433;5.222;5.453,swarm067;swarm096;swarm067,12.423272,0.345091
cpu_search_fast_dynamic,lotte,0.95,d1,1,3,2931,100,0.956093,10.307667,0.966287,9.193000,10.908000,97.618667,9.669463,97.084000,105.691000,109.901000,119.941667,1.000000,0.000000,1.000000,1.000000,10.908;9.193;10.822,91.674;108.776;92.406,swarm067;swarm067;swarm099,1.000000,1.000000
cpu_search_fast_dynamic,lotte,0.95,d1,2,3,2931,100,0.956093,18.104667,0.152857,17.930000,18.214000,55.236000,0.468858,54.817000,60.550667,62.716333,71.134000,1.768008,0.185546,1.768025,0.884004,17.930;18.214;18.170,55.772;54.902;55.034,swarm099;swarm097;swarm097,1.756427,0.878214
cpu_search_fast_dynamic,lotte,0.95,d1,4,3,2931,100,0.956093,33.819667,0.128150,33.705000,33.958000,29.568333,0.111447,29.312000,32.850333,34.057000,37.248333,3.300801,0.316636,3.300836,0.825200,33.958;33.705;33.796,29.448;29.668;29.589,swarm099;swarm063;swarm095,3.281021,0.820255
cpu_search_fast_dynamic,lotte,0.95,d1,8,3,2931,100,0.956093,58.649333,1.507639,57.117000,60.131000,17.057333,0.438926,16.842333,18.972667,19.730000,21.956000,5.733395,0.701280,5.733564,0.716674,58.700;60.131;57.117,17.035;16.630;17.507,swarm099;swarm063;swarm063,5.689875,0.711234
cpu_search_fast_dynamic,lotte,0.95,d1,16,3,2931,100,0.956093,91.630333,1.308294,90.868000,93.141000,10.914333,0.154442,10.846667,11.999000,12.341000,13.152000,8.953338,1.021034,8.953704,0.559583,90.882;93.141;90.868,11.003;10.736;11.004,swarm063;swarm095;swarm063,8.889532,0.555596
cpu_search_fast_dynamic,lotte,0.95,d1,32,3,2931,100,0.956093,117.452667,5.624566,112.542000,123.589000,8.526333,0.402514,8.460333,9.387333,9.663333,10.361667,11.500360,1.696288,11.501017,0.359386,112.542;123.589;116.227,8.885;8.091;8.603,swarm096;swarm095;swarm096,11.394690,0.356084
cpu_search_fast_dynamic,lotte,0.95,d1,36,3,2931,100,0.956093,124.052333,1.815215,121.978000,125.350000,8.061667,0.119215,7.906333,8.745333,9.042000,10.387000,12.113855,1.273365,12.114696,0.336496,125.350;124.829;121.978,7.977;8.010;8.198,swarm099;swarm099;swarm099,12.034957,0.334304
cpu_search_fast_dynamic,hotpot,0.90,f1,1,3,1000,100,0.909710,7.947333,0.368306,7.588000,8.324000,126.010333,5.827506,124.985333,138.884667,142.998667,152.434000,1.000000,0.000000,1.000000,1.000000,8.324;7.588;7.930,120.139;131.793;126.099,swarm063;swarm063;swarm097,1.000000,1.000000
cpu_search_fast_dynamic,hotpot,0.90,f1,2,3,1000,100,0.909710,15.605333,0.487180,15.203000,16.147000,64.120333,1.977395,62.748000,73.425667,77.821667,88.150000,1.965060,0.064362,1.965138,0.982530,16.147;15.466;15.203,61.930;64.657;65.774,swarm096;swarm095;swarm066,1.963594,0.981797
cpu_search_fast_dynamic,hotpot,0.90,f1,4,3,1000,100,0.909710,30.769333,0.670218,30.058000,31.389000,32.510000,0.711560,32.451333,35.437333,36.217333,37.454333,3.875662,0.145665,3.875748,0.968916,30.861;30.058;31.389,32.403;33.269;31.858,swarm063;swarm063;swarm063,3.871655,0.967914
cpu_search_fast_dynamic,hotpot,0.90,f1,8,3,1000,100,0.909710,50.422667,0.133031,50.288000,50.554000,19.831667,0.052520,19.773667,21.920000,22.482000,23.668667,6.353950,0.302635,6.354303,0.794244,50.288;50.426;50.554,19.885;19.830;19.780,swarm064;swarm064;swarm063,6.344602,0.793075
cpu_search_fast_dynamic,hotpot,0.90,f1,16,3,1000,100,0.909710,79.931667,6.163844,74.261000,86.492000,12.559000,0.955328,12.312333,14.578667,15.365333,16.799333,10.086255,1.138348,10.087047,0.630391,79.042;86.492;74.261,12.651;11.561;13.465,swarm099;swarm095;swarm099,10.057672,0.628604
cpu_search_fast_dynamic,hotpot,0.90,f1,32,3,1000,100,0.909710,103.888667,9.343295,97.756000,114.642000,9.674667,0.828712,9.520000,10.707333,11.039000,12.774000,13.088412,1.278059,13.089555,0.409013,99.268;97.756;114.642,10.073;10.229;8.722,swarm096;swarm067;swarm096,13.072142,0.408504
cpu_search_fast_dynamic,hotpot,0.90,f1,36,3,1000,100,0.909710,113.683000,6.422568,109.195000,121.040000,8.814000,0.483507,8.784000,9.719000,9.974333,10.394333,14.344651,1.410231,14.345897,0.398462,110.814;121.040;109.195,9.024;8.261;9.157,swarm064;swarm064;swarm063,14.304547,0.397349
cpu_search_fast_dynamic,hotpot,0.95,i1,1,3,1000,100,0.957730,4.883000,0.360301,4.467000,5.096000,205.558000,15.847648,205.201000,222.449667,226.924333,235.162333,1.000000,0.000000,1.000000,1.000000,5.086;4.467;5.096,196.597;223.856;196.221,swarm064;swarm064;swarm063,1.000000,1.000000
cpu_search_fast_dynamic,hotpot,0.95,i1,2,3,1000,100,0.957730,8.030667,0.049923,7.989000,8.086000,124.526000,0.775751,121.705667,141.141667,149.976000,170.542333,1.650757,0.125164,1.650645,0.825378,8.086;8.017;7.989,123.666;124.739;125.173,swarm097;swarm096;swarm095,1.644617,0.822309
cpu_search_fast_dynamic,hotpot,0.95,i1,4,3,1000,100,0.957730,14.942667,0.179589,14.743000,15.091000,66.928000,0.808533,65.438333,76.852333,81.184667,91.583333,3.072278,0.249016,3.072118,0.768069,15.091;14.994;14.743,66.263;66.693;67.828,swarm064;swarm064;swarm063,3.060141,0.765035
cpu_search_fast_dynamic,hotpot,0.95,i1,8,3,1000,100,0.957730,26.828000,0.200726,26.622000,27.023000,37.275667,0.278374,37.178667,40.418000,41.550333,45.301667,5.516869,0.462009,5.516534,0.689608,26.839;27.023;26.622,37.259;37.006;37.562,swarm066;swarm066;swarm097,5.494163,0.686770
cpu_search_fast_dynamic,hotpot,0.95,i1,16,3,1000,100,0.957730,41.826000,1.049843,41.052000,43.021000,23.918000,0.592894,23.713000,26.819333,27.711667,29.324000,8.609184,0.885813,8.608802,0.538074,41.405;43.021;41.052,24.151;23.244;24.359,swarm096;swarm063;swarm063,8.565636,0.535352
cpu_search_fast_dynamic,hotpot,0.95,i1,32,3,1000,100,0.957730,61.870333,2.524996,59.989000,64.740000,16.180000,0.647264,16.079333,17.675667,18.095333,18.843667,12.701816,0.741552,12.701328,0.396932,64.740;59.989;60.882,15.446;16.669;16.425,swarm067;swarm066;swarm063,12.670558,0.395955
cpu_search_fast_dynamic,hotpot,0.95,i1,36,3,1000,100,0.957730,63.201667,3.173900,61.001000,66.840000,15.848000,0.774841,15.754333,17.595000,18.114333,19.186000,13.025687,1.679002,13.025089,0.361825,61.001;66.840;61.764,16.393;14.961;16.190,swarm066;swarm063;swarm064,12.943204,0.359533
cpu_search_fast_dynamic,msmarco,0.90,b4,1,3,6980,100,0.921818,13.138667,0.166377,13.028000,13.330000,76.118000,0.955776,75.404000,84.489000,88.226667,97.177333,1.000000,0.000000,1.000000,1.000000,13.058;13.330;13.028,76.580;75.019;76.755,swarm094;swarm099;swarm067,1.000000,1.000000
cpu_search_fast_dynamic,msmarco,0.90,b4,2,3,6980,100,0.921818,26.802333,0.437100,26.302000,27.110000,37.316000,0.613729,36.833333,42.270333,44.339000,50.080000,2.040093,0.035760,2.040104,1.020046,26.302;26.995;27.110,38.019;37.042;36.887,swarm096;swarm095;swarm096,2.039958,1.019979
cpu_search_fast_dynamic,msmarco,0.90,b4,4,3,6980,100,0.921818,50.824667,0.338515,50.545000,51.201000,19.675333,0.130910,19.486333,22.065333,22.976000,25.403000,3.868906,0.070486,3.868985,0.967226,50.728;50.545;51.201,19.712;19.784;19.530,swarm063;swarm097;swarm099,3.868328,0.967082
cpu_search_fast_dynamic,msmarco,0.90,b4,8,3,6980,100,0.921818,88.145667,4.135370,84.131000,92.392000,11.361000,0.531619,11.172000,12.975000,13.631333,15.478667,6.707139,0.237736,6.707313,0.838392,87.914;92.392;84.131,11.374;10.823;11.886,swarm066;swarm066;swarm097,6.708874,0.838609
cpu_search_fast_dynamic,msmarco,0.90,b4,16,3,6980,100,0.921818,142.462000,2.582319,140.154000,145.251000,7.020333,0.126532,6.894000,8.025333,8.467000,9.908667,10.845475,0.318381,10.846225,0.677842,141.981;140.154;145.251,7.043;7.134;6.884,swarm099;swarm063;swarm099,10.842957,0.677685
cpu_search_fast_dynamic,msmarco,0.90,b4,32,3,6980,100,0.921818,172.587333,5.719929,166.976000,178.410000,5.798000,0.191518,5.734667,6.490000,6.740000,7.372000,13.134182,0.310020,13.134850,0.410443,166.976;178.410;172.376,5.988;5.605;5.801,swarm094;swarm067;swarm066,13.135833,0.410495
cpu_search_fast_dynamic,msmarco,0.90,b4,36,3,6980,100,0.921818,162.700000,1.576338,160.915000,163.901000,6.146333,0.059719,6.070000,6.846000,7.112333,8.049333,12.383880,0.108140,12.384342,0.343997,163.284;163.901;160.915,6.124;6.101;6.214,swarm094;swarm064;swarm063,12.383296,0.343980
cpu_search_fast_dynamic,msmarco,0.95,c3,1,3,6980,100,0.952789,9.166000,0.221705,9.037000,9.422000,109.138333,2.603607,108.298333,121.521000,126.130333,136.777000,1.000000,0.000000,1.000000,1.000000,9.422;9.037;9.039,106.132;110.657;110.626,swarm095;swarm094;swarm094,1.000000,1.000000
