implementation,dataset,label,ncells,ndocs,index_source,index_path,queries,k,warmup,avg_time_s,qps,recall,avg_latency_ms,gpu_mem_current_mib,gpu_mem_peak_mib,gpu_mem_total_mib,torch_peak_allocated_mib,torch_peak_reserved_mib,source,target_recall
plaid,hotpot,c3,2,1000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.019009,52.607450,0.919600,19.009000,2018.00,2018.00,32494.12,692.73,1478.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv,0.90
plaid,hotpot,c5m,3,4000,nfs,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.0261,38.314176,0.9119,26.100000,,,,,,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk/k100/hotpot/plaid/benchmark_results.csv,0.90
plaid,hotpot,c14,16,20000,nfs,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.1072,9.328358,0.9502,107.200000,,,,,,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk/k100/hotpot/plaid/benchmark_results.csv,0.95
plaid,lotte,c1m,1,750,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/colbert/indexes/4bit,2931,10,5,0.010681,93.620136,0.920744,10.681000,1514.00,1514.00,32494.12,369.05,974.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_local_topk/k10/lotte/plaid/benchmark_results.csv,0.90
plaid,lotte,c4,2,2000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/colbert/indexes/4bit,2931,10,5,0.017301,57.799498,0.950631,17.301000,2884.00,2884.00,32494.12,621.05,2344.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_local_topk/k10/lotte/plaid/benchmark_results.csv,0.95
plaid,lotte,c4m,2,3000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/colbert/indexes/4bit,2931,100,5,0.020364,49.105860,0.910000,20.364000,2022.00,2022.00,32494.12,683.01,1482.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv,0.90
plaid,lotte,c8,4,8000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/colbert/indexes/4bit,2931,100,5,0.037294,26.814221,0.950720,37.294000,3200.00,3200.00,32494.12,1199.63,2658.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv,0.95
plaid,msmarco,c0,1,250,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/msmarco/colbert/indexes/4bit,6980,10,5,0.010647,93.920188,0.904828,10.647000,2122.00,2122.00,32494.12,544.35,1582.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/msmarco/plaid/search_py_output.csv,0.90
plaid,msmarco,c3,2,1000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/msmarco/colbert/indexes/4bit,6980,10,5,0.015388,64.986956,0.958037,15.388000,2924.00,2924.00,32494.12,788.21,2384.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/msmarco/plaid/search_py_output.csv,0.95
plaid,msmarco,c4,2,2000,nfs,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/msmarco/colbert/indexes/4bit,6980,100,5,0.0165,60.606061,0.9145,16.500000,,,,,,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk/k100/msmarco/plaid/benchmark_results.csv,0.90
plaid,msmarco,c7,4,4000,nfs,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/msmarco/colbert/indexes/4bit,6980,100,5,0.0284,35.211268,0.9526,28.400000,,,,,,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk/k100/msmarco/plaid/benchmark_results.csv,0.95
