implementation,dataset,label,ncells,ndocs,index_source,index_path,queries,k,warmup,avg_time_s,qps,recall,avg_latency_ms,gpu_mem_current_mib,gpu_mem_peak_mib,gpu_mem_total_mib,torch_peak_allocated_mib,torch_peak_reserved_mib,source
plaid,hotpot,c1,1,500,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.012883,77.619397,0.866700,12.883000,1912.00,1912.00,32494.12,443.01,1372.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c1m,1,750,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.013026,76.772220,0.871600,13.026000,1912.00,1912.00,32494.12,443.01,1372.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c2m,1,1500,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.013223,75.623293,0.874700,13.223000,1912.00,1912.00,32494.12,443.01,1372.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c3,2,1000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.019009,52.607450,0.919600,19.009000,2018.00,2018.00,32494.12,692.73,1478.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c4m,2,3000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.020439,48.926034,0.922800,20.439000,2018.00,2018.00,32494.12,692.73,1478.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c5m,3,4000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.028698,34.845690,0.934600,28.698000,2682.00,2682.00,32494.12,928.84,2142.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c7,4,4000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.033780,29.603240,0.939600,33.780000,2768.00,2768.00,32494.12,1149.45,2228.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c8,4,8000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.042123,23.739801,0.940100,42.123000,2850.00,2850.00,32494.12,1149.45,2310.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c8m,6,8000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.051754,19.322077,0.943000,51.754000,3674.00,3674.00,32494.12,1589.09,3134.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c10m,8,10000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.062179,16.082675,0.944200,62.179000,4550.00,4550.00,32494.12,2002.68,4010.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c11m,12,12000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.092701,10.787420,0.944600,92.701000,6226.00,6226.00,32494.12,2734.07,5686.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c13,16,12000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.110094,9.083153,0.944700,110.094000,7738.00,7738.00,32494.12,3482.45,7198.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c1m,1,750,dataset,/home/juelinliu_umass_edu/work3/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.012296,81.324615,0.691850,12.296000,1948.00,1948.00,32494.12,476.19,1408.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_hotpot_k100_missing/k100/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c2,1,1000,dataset,/home/juelinliu_umass_edu/work3/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.012580,79.493018,0.731430,12.580000,1948.00,1948.00,32494.12,476.19,1408.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_hotpot_k100_missing/k100/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c2m,1,1500,dataset,/home/juelinliu_umass_edu/work3/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.013176,75.895632,0.765070,13.176000,1948.00,1948.00,32494.12,476.19,1408.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_hotpot_k100_missing/k100/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c4m,2,3000,nfs,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.0171,58.479532,0.8769,17.100000,,,,,,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk/k100/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c5,2,4000,nfs,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.0219,45.662100,0.8821,21.900000,,,,,,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk/k100/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c5m,3,4000,nfs,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.0261,38.314176,0.9119,26.100000,,,,,,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk/k100/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c7,4,4000,nfs,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.0328,30.487805,0.9251,32.800000,,,,,,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk/k100/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c7m,4,6000,nfs,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.0359,27.855153,0.9299,35.900000,,,,,,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk/k100/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c8,4,8000,nfs,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.0395,25.316456,0.9313,39.500000,,,,,,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk/k100/hotpot/plaid/benchmark_results.csv
plaid,hotpot,c8m,6,8000,nfs,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.0511,19.569472,0.9418,51.100000,,,,,,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk/k100/hotpot/plaid/benchmark_results.csv
