implementation,dataset,label,ncells,ndocs,index_source,index_path,queries,k,warmup,avg_time_s,qps,recall,avg_latency_ms,gpu_mem_current_mib,gpu_mem_peak_mib,gpu_mem_total_mib,torch_peak_allocated_mib,torch_peak_reserved_mib,source
plaid_gpu_resident,hotpot,c0,1,250,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.006237,160.338583,0.849500,6.237000,21234.00,21234.00,32494.12,19772.26,20694.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c1,1,500,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.006266,159.586776,0.866700,6.266000,21244.00,21244.00,32494.12,19772.35,20704.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c1m,1,750,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.006289,159.003326,0.871600,6.289000,21244.00,21244.00,32494.12,19772.35,20704.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c2,1,1000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.006321,158.195798,0.873600,6.321000,21244.00,21244.00,32494.12,19772.35,20704.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c2m,1,1500,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.006451,155.009533,0.874700,6.451000,21244.00,21244.00,32494.12,19772.35,20704.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c3,2,1000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.007686,130.110214,0.919600,7.686000,21344.00,21344.00,32494.12,20023.51,20804.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c3m,2,1500,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.007772,128.668358,0.921500,7.772000,21344.00,21344.00,32494.12,20023.51,20804.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c4,2,2000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.007938,125.972266,0.922600,7.938000,21344.00,21344.00,32494.12,20023.51,20804.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c4m,2,3000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.008184,122.184894,0.922800,8.184000,21344.00,21344.00,32494.12,20023.51,20804.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c5,2,4000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.008461,118.182730,0.922800,8.461000,21386.00,21386.00,32494.12,20023.51,20846.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c5m,3,4000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.009556,104.648119,0.934600,9.556000,22020.00,22020.00,32494.12,20259.65,21480.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c7,4,4000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.010610,94.249611,0.939600,10.610000,22094.00,22094.00,32494.12,20480.41,21554.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c7m,4,6000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.011286,88.606985,0.940100,11.286000,22158.00,22158.00,32494.12,20480.50,21618.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c8,4,8000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.011938,83.763181,0.940100,11.938000,22178.00,22178.00,32494.12,20480.41,21638.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c8m,6,8000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.013921,71.832358,0.943000,13.921000,23016.00,23016.00,32494.12,20921.11,22476.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c10,8,8000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.015775,63.391175,0.944100,15.775000,23898.00,23898.00,32494.12,21335.08,23358.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c10m,8,10000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.016473,60.706006,0.944200,16.473000,23898.00,23898.00,32494.12,21335.08,23358.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
plaid_gpu_resident,hotpot,c11,8,12000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.017167,58.250392,0.944200,17.167000,24024.00,24024.00,32494.12,21335.08,23484.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv
