system,dataset,topk,recall,qps,label,source
CPU,lotte,100,0.779754,323.243,a3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,lotte,100,0.789038,301.936667,b1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,lotte,100,0.843514,257.949333,b2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,lotte,100,0.854766,249.66,b3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,lotte,100,0.889454,213.385,b4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,lotte,100,0.916196,182.723667,c1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,lotte,100,0.917489,181.166333,c2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,lotte,100,0.9368,159.116,c3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,lotte,100,0.946438,138.096333,e2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,lotte,100,0.949594,136.867333,e1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,lotte,100,0.956093,123.603333,d1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera,lotte,100,0.781955,681.122,a3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.79102,618.707,b1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.843729,599.133,b2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.853432,591.342,b3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.88538,556.126,b4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.909277,527.988,c1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.911,491.021,c2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.927226,465.993,c3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.938014,440.206,e1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.943545,411.427,d1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.95072,371.052,f1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.953006,354.302,f2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
