system,dataset,topk,recall,qps,label,source
Chimera,lotte,10,0.889389,726.97,a1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.926237,696.674,a4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.949471,598.152,b2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.953156,565.141,b3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.955954,546.688,b4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.957489,502.843,c1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.960082,477.568,c2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.960798,460.051,c3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.961583,440.809,e1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.962368,434.698,e2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.962504,406.694,d1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.962845,364.316,f1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.963255,345.346,f2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.963494,317.222,g1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.963528,306.273,g2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.963698,270.221,h1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
Chimera,lotte,10,0.963869,229.832,i1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k10/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T215344Z_job56279474.csv
